legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
5daac32d2bf25f8f645f2f93ce6460df,2022-04-16,2022-04-20,DTW,ATL,QA0QA0MQ,PT6H21M,0,False,False,False,463.26,521.61,9,1718,1650473400||1650489360,2022-04-20T12:50:00.000-04:00||2022-04-20T17:16:00.000-04:00,1650484080||1650496260,2022-04-20T15:48:00.000-04:00||2022-04-20T19:11:00.000-04:00,FLL||ATL,DTW||FLL,Delta||Delta,DL||DL,Airbus A321||Boeing 757-300,10680||6900,1136||582,coach||coach
585c5adeafa4cdcabf490c749ebd3b30,2022-04-16,2022-04-23,MIA,LAX,N3AWZNN3,PT12H44M,1,False,False,False,230.70,277.20,1,2342,1650764460||1650798000,2022-04-23T21:41:00.000-04:00||2022-04-24T06:00:00.000-05:00,1650777420||1650810300,2022-04-24T00:17:00.000-05:00||2022-04-24T07:25:00.000-07:00,AUS||LAX,MIA||AUS,American Airlines||American Airlines,AA||AA,Boeing 737-800||Airbus A319,12960||12300,1106||1236,coach||coach
cd5e545d37de6c614539abda3014b571,2022-04-17,2022-04-18,DFW,DEN,HA0NA0MC,PT5H11M,0,False,False,False,298.60,344.60,4,1547,1650279900||1650290400,2022-04-18T06:05:00.000-05:00||2022-04-18T09:00:00.000-05:00,1650288300||1650298560,2022-04-18T08:25:00.000-05:00||2022-04-18T10:16:00.000-06:00,MSP||DEN,DFW||MSP,Delta||Delta,DL||DL,Airbus A319||Boeing 737-900,8400||8160,854||693,coach||coach
f80b0642309e1ac103cea1622bfac381,2022-04-17,2022-04-21,EWR,SFO,SAA3PQBN,PT8H2M,0,True,False,False,208.37,247.60,9,2647,1650571200||1650577920,2022-04-21T16:00:00.000-04:00||2022-04-21T17:52:00.000-04:00,1650576000||1650600120,2022-04-21T17:20:00.000-04:00||2022-04-21T21:02:00.000-07:00,DCA||SFO,EWR||DCA,United||United,UA||UA,||Boeing 737-800,4800||22200,221||2426,coach||coach
b8669df279764f22e8547d3a48cbaa12,2022-04-17,2022-04-25,DFW,LGA,L0AHZNN1,PT3H24M,0,False,False,True,226.98,258.60,7,1380,1650904560,2022-04-25T11:36:00.000-05:00,1650916800,2022-04-25T16:00:00.000-04:00,LGA,DFW,American Airlines,AA,Boeing 737-800,12240,1380,coach
8772d3035da26ef64bf990a94cbdb422,2022-04-17,2022-04-28,DTW,PHL,M7AHZNN1,PT1H37M,0,False,False,True,310.70,348.60,7,447,1651158240,2022-04-28T11:04:00.000-04:00,1651164060,2022-04-28T12:41:00.000-04:00,PHL,DTW,American Airlines,AA,Canadian Regional Jet 700,5820,447,coach
7103c86ef09173ba33449834075725b2,2022-04-17,2022-05-01,PHL,CLT,NUAJZNN3,PT11H30M,1,False,False,False,188.84,232.20,5,1008,1651451520||1651484280,2022-05-01T20:32:00.000-04:00||2022-05-02T05:38:00.000-04:00,1651456020||1651492920,2022-05-01T21:47:00.000-04:00||2022-05-02T08:02:00.000-04:00,BOS||CLT,PHL||BOS,American Airlines||American Airlines,AA||AA,Airbus A321||Boeing 737-800,4500||8640,280||728,coach||coach
ed6b2e2e5dd5217ca65cbfc4085671f3,2022-04-17,2022-05-04,PHL,DFW,HA0NA0MC,PT6H6M,0,False,False,False,347.91,397.60,4,1442,1651682700||1651693800,2022-05-04T12:45:00.000-04:00||2022-05-04T15:50:00.000-04:00,1651689120||1651704660,2022-05-04T14:32:00.000-04:00||2022-05-04T17:51:00.000-05:00,DTW||DFW,PHL||DTW,Delta||Delta,DL||DL,Canadair Regional Jet 900||Airbus A220-100,6420||10860,447||995,coach||coach
88c81de8be1ddb79908a2a867cbfbf2b,2022-04-17,2022-05-08,DEN,DFW,G7AIZNN1,PT2H5M,0,False,False,True,129.30,153.60,7,650,1652016900,2022-05-08T07:35:00.000-06:00,1652024400,2022-05-08T10:40:00.000-05:00,DFW,DEN,American Airlines,AA,Airbus A321,7500,650,coach
e22ff727fea0f61ba78212ecc49b1992,2022-04-17,2022-05-11,DFW,IAD,LAA3PFBN,PT10H50M,1,True,False,False,188.84,232.20,9,1601,1652315700||1652349600,2022-05-11T19:35:00.000-05:00||2022-05-12T06:00:00.000-04:00,1652327940||1652354700,2022-05-11T23:59:00.000-04:00||2022-05-12T07:25:00.000-04:00,EWR||IAD,DFW||EWR,United||United,UA||UA,Airbus A319||Boeing 757-200,12240||5100,1380||221,coach||coach
56e01172159c8a0168b4b21b9fbcc618,2022-04-17,2022-05-14,LGA,SFO,VAG4AKES,PT10H7M,0,False,False,False,547.91,612.60,4,2567,1652536800||1652556120,2022-05-14T10:00:00.000-04:00||2022-05-14T14:22:00.000-05:00,1652547600||1652573220,2022-05-14T12:00:00.000-05:00||2022-05-14T17:07:00.000-07:00,ORD||SFO,LGA||ORD,United||United,UA||UA,Embraer 175 (Enhanced Winglets)||Boeing 737-900,10800||17100,720||1847,coach||coach
