startingAirport,destinationAirport,min(totalFare)
IAD,JFK,90.6
IAD,LAX,96.6
IAD,DTW,58.6
IAD,DEN,98.6
IAD,DFW,118.6
IAD,EWR,70.6
IAD,ATL,78.59
IAD,BOS,43.6
IAD,SFO,112.6
IAD,CLT,65.6
IAD,ORD,88.6
IAD,OAK,153.1
IAD,LGA,90.6
IAD,MIA,88.61
IAD,PHL,106.7
JFK,ORD,75.6
JFK,MIA,48.6
JFK,SFO,93.6
JFK,PHL,101.6
JFK,DEN,88.6
JFK,ATL,53.6
JFK,DFW,63.6
JFK,CLT,99.61
JFK,IAD,90.6
JFK,BOS,43.6
JFK,OAK,148.6
JFK,LAX,102.6
JFK,DTW,58.6
LAX,DFW,33.58
LAX,MIA,65.58
LAX,JFK,103.6
LAX,OAK,19.59
LAX,CLT,47.58
LAX,DEN,33.58
LAX,SFO,23.97
LAX,LGA,74.37
LAX,ATL,55.58
LAX,IAD,96.6
LAX,BOS,73.58
LAX,EWR,62.58
LAX,DTW,52.58
LAX,ORD,55.58
LAX,PHL,63.58
LGA,DFW,35.59
LGA,LAX,74.37
LGA,DTW,35.59
LGA,CLT,50.59
LGA,MIA,30.69
LGA,ORD,65.58
LGA,OAK,107.78
LGA,SFO,89.59
LGA,PHL,59.6
LGA,DEN,71.06
LGA,ATL,23.97
LGA,BOS,43.6
LGA,IAD,90.6
