startingAirport,destinationAirport,min(totalFare)
ATL,LGA,53.6
ATL,ORD,68.6
ATL,CLT,96.6
ATL,DEN,78.6
ATL,SFO,64.6
ATL,JFK,68.6
ATL,PHL,78.6
ATL,MIA,88.6
ATL,DTW,148.6
ATL,BOS,129.6
ATL,LAX,130.6
ATL,EWR,40.6
ATL,IAD,78.6
ATL,DFW,93.6
BOS,JFK,43.6
BOS,ATL,129.6
BOS,DEN,98.6
BOS,DTW,68.6
BOS,CLT,68.6
BOS,EWR,38.61
BOS,LGA,43.6
BOS,DFW,78.6
BOS,IAD,44.6
BOS,ORD,47.6
BOS,SFO,113.6
BOS,PHL,58.6
BOS,MIA,58.6
BOS,LAX,121.6
CLT,EWR,101.1
CLT,DTW,93.1
CLT,DEN,87.1
CLT,IAD,64.1
CLT,MIA,109.1
CLT,ATL,95.1
CLT,BOS,67.1
CLT,ORD,96.1
CLT,PHL,93.1
CLT,JFK,101.1
CLT,LGA,101.1
CLT,DFW,119.1
