Airline,Hour,avgSeats
Alaska Airlines,07,3
Alaska Airlines,08,6
Alaska Airlines,11,5
Alaska Airlines,16,5
American Airlines,05,5
American Airlines,06,5
American Airlines,07,5
American Airlines,08,5
American Airlines,09,5
American Airlines,10,4
American Airlines,11,4
American Airlines,12,5
American Airlines,13,5
American Airlines,14,5
American Airlines,15,5
American Airlines,16,5
American Airlines,17,5
American Airlines,18,5
American Airlines,19,4
American Airlines,20,5
American Airlines,21,5
Cape Air,09,1
